江西联通线路,#genre#

CCTV1,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227034/10000100000000060000000000570885_0.smil
CCTV2,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227231/10000100000000060000000000680051_0.smil
CCTV3,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227255/10000100000000060000000000746031_0.smil
CCTV4,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227022/10000100000000060000000000571118_0.smil
CCTV5,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227264/10000100000000060000000000746032_0.smil
CCTV5+,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227270/10000100000000060000000001635911_0.smil
CCTV6,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227266/10000100000000060000000000746033_0.smil
CCTV7,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227229/10000100000000060000000000680052_0.smil
CCTV8,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227257/10000100000000060000000000746034_0.smil
CCTV9,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227305/10000100000000060000000001945877_0.smil
CCTV10,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227035/10000100000000060000000000570886_0.smil
CCTV11,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227307/10000100000000060000000001945885_0.smil
CCTV12,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227234/10000100000000060000000000680049_0.smil
CCTV13,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227314/10000100000000060000000001945886_0.smil
CCTV14,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227036/10000100000000060000000000570887_0.smil
CCTV15,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227316/10000100000000060000000001945887_0.smil
CCTV16,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227265/10000100000000060000000001629537_0.smil
CCTV17,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227027/10000100000000060000000000570952_0.smil
CCTV4欧洲,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227309/10000100000000060000000001945892_0.smil
CCTV4美洲,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227311/10000100000000060000000001945895_0.smil

江西卫视,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226961/10000100000000060000000000543478_0.smil
江西都市频道,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227290/10000100000000060000000001722654_0.smil
